STATION,DATE,FT NAVD88,M NAVD88,FLOODCLASS,STORMNAME,TYPE,STATIONLAT,STATIONLONG,REGION,YEAR,DOWNSTREAM KM
BUCHANAN,5/12/24,21.5,6.55,MODERATE,NT1,NT,37.530556,-79.679167,MOUNTAIN,1924,57.7
CARTERSVILLE,5/13/24,24.7,7.81,MODERATE,NT1,NT,37.670833,-78.086111,PIEDMONT,1924,291
RICHLOCKS,5/14/24,20.1,6.13,MODERATE,NT1,NT,37.525,-77.421111,PIEDMONT,1924,367.3
CARTERSVILLE,10/1/24,24.38,7.71,MODERATE,NOT_NAMED165,AT,37.670833,-78.086111,PIEDMONT,1924,291
SCOTTSVILLE,1/19/26,15.8,4.82,ACTION,NT2,NT,37.797222,-78.491667,PIEDMONT,1926,240.3
CARTERSVILLE,1/19/26,15.25,4.93,ACTION,NT2,NT,37.670833,-78.086111,PIEDMONT,1926,291
LICKRUN,12/26/26,20,6.1,FLOOD,NT3,NT,37.773611,-79.784444,MOUNTAIN,1926,0
BUCHANAN,12/26/26,16,4.88,ACTION,NT3,NT,37.530556,-79.679167,MOUNTAIN,1926,57.7
CARTERSVILLE,12/28/26,16.2,5.22,ACTION,NT3,NT,37.670833,-78.086111,PIEDMONT,1926,291
SCOTTSVILLE,2/19/27,15.68,4.78,ACTION,NT4,NT,37.797222,-78.491667,PIEDMONT,1927,240.3
BUCHANAN,8/16/28,16.53,5.04,ACTION,NOT_NAMED174,GT,37.530556,-79.679167,MOUNTAIN,1928,57.7
BENTCREEK,8/17/28,18.8,5.73,MODERATE,NOT_NAMED174,GT,37.536111,-78.829722,PIEDMONT,1928,177.8
CARTERSVILLE,8/18/28,23.8,7.54,MODERATE,NOT_NAMED174,GT,37.670833,-78.086111,PIEDMONT,1928,291
RICHLOCKS,8/18/28,17,5.18,FLOOD,NOT_NAMED174,GT,37.525,-77.421111,PIEDMONT,1928,367.3
LICKRUN,2/28/29,15.1,4.6,ACTION,NT5,NT,37.773611,-79.784444,MOUNTAIN,1929,0
SCOTTSVILLE,2/28/29,15.9,4.85,ACTION,NT5,NT,37.797222,-78.491667,PIEDMONT,1929,240.3
CARTERSVILLE,4/17/29,17.66,5.66,ACTION,NT6,NT,37.670833,-78.086111,PIEDMONT,1929,291
LICKRUN,11/18/29,17.75,5.41,FLOOD,NT7,NT,37.773611,-79.784444,MOUNTAIN,1929,0
BUCHANAN,11/19/29,16.5,5.03,ACTION,NT7,NT,37.530556,-79.679167,MOUNTAIN,1929,57.7
SCOTTSVILLE,11/19/29,16.12,4.91,ACTION,NT7,NT,37.797222,-78.491667,PIEDMONT,1929,240.3
CARTERSVILLE,11/19/29,15.82,5.1,ACTION,NT7,NT,37.670833,-78.086111,PIEDMONT,1929,291
LICKRUN,2/5/32,18.14,5.53,FLOOD,NT8,NT,37.773611,-79.784444,MOUNTAIN,1932,0
BUCHANAN,2/5/32,15.3,4.66,ACTION,NT8,NT,37.530556,-79.679167,MOUNTAIN,1932,57.7
CARTERSVILLE,3/7/32,17.13,5.5,ACTION,NT9,NT,37.670833,-78.086111,PIEDMONT,1932,291
SCOTTSVILLE,3/30/32,13.14,4.01,ACTION,NT10,NT,37.797222,-78.491667,PIEDMONT,1932,240.3
HOLCOMBROCK,10/17/32,19.42,5.92,ACTION,NOT_NAMED180,GT,37.501111,-79.262778,PIEDMONT,1932,112.3
BENTCREEK,10/18/32,15.32,4.67,ACTION,NOT_NAMED180,GT,37.536111,-78.829722,PIEDMONT,1932,177.8
SCOTTSVILLE,10/18/32,18.45,5.62,ACTION,NOT_NAMED180,GT,37.797222,-78.491667,PIEDMONT,1932,240.3
CARTERSVILLE,10/18/32,21.54,6.85,FLOOD,NOT_NAMED180,GT,37.670833,-78.086111,PIEDMONT,1932,291
RICHLOCKS,10/19/32,14.2,4.33,FLOOD,NOT_NAMED180,GT,37.525,-77.421111,PIEDMONT,1932,367.3
RICHLOCKS,4/19/33,14.1,4.3,FLOOD,NT11,NT,37.525,-77.421111,PIEDMONT,1933,367.3
SEWELLS,8/23/33,8.02,1.95,MAJOR,NOT_NAMED181,AT,36.946667,-76.33,COASTAL,1933,532
SEWELLS,9/16/33,6.12,1.38,MODERATE,NOT_NAMED183,AT,36.946667,-76.33,COASTAL,1933,532
CARTERSVILLE,3/5/34,15.93,5.14,ACTION,NT12,NT,37.670833,-78.086111,PIEDMONT,1934,291
SCOTTSVILLE,3/29/34,14.7,4.48,ACTION,NT13,NT,37.797222,-78.491667,PIEDMONT,1934,240.3
CARTERSVILLE,12/2/34,24.95,7.89,MODERATE,NT14,NT,37.670833,-78.086111,PIEDMONT,1934,291
RICHWEST,12/3/34,19.08,6.13,MODERATE,NT14,NT,37.563056,-77.547222,PIEDMONT,1934,354.6
RICHLOCKS,12/3/34,19.7,6,MODERATE,NT14,NT,37.525,-77.421111,PIEDMONT,1934,367.3
LICKRUN,1/23/35,22.98,7,MODERATE,NT15,NT,37.773611,-79.784444,MOUNTAIN,1935,0
BUCHANAN,1/23/35,23.82,7.26,MODERATE,NT15,NT,37.530556,-79.679167,MOUNTAIN,1935,57.7
HOLCOMBROCK,1/23/35,26.61,8.11,MODERATE,NT15,NT,37.501111,-79.262778,PIEDMONT,1935,112.3
BENTCREEK,1/24/35,20.22,6.16,MODERATE,NT15,NT,37.536111,-78.829722,PIEDMONT,1935,177.8
RICHWEST,1/25/35,18.57,5.97,MODERATE,NT15,NT,37.563056,-77.547222,PIEDMONT,1935,354.6
SCOTTSVILLE,9/6/35,23.06,7.03,MODERATE,NOT_NAMED189,GT,37.797222,-78.491667,PIEDMONT,1935,240.3
CARTERSVILLE,9/6/35,27.8,8.76,MAJOR,NOT_NAMED189,GT,37.670833,-78.086111,PIEDMONT,1935,291
RICHWEST,9/7/35,21.01,6.72,MODERATE,NOT_NAMED189,GT,37.563056,-77.547222,PIEDMONT,1935,354.6
RICHLOCKS,9/7/35,23.65,7.21,MODERATE,NOT_NAMED189,GT,37.525,-77.421111,PIEDMONT,1935,367.3
RICHWEST,1/4/36,16.75,5.42,MODERATE,NT16,NT,37.563056,-77.547222,PIEDMONT,1936,354.6
RICHWEST,1/21/36,16.7,5.4,MODERATE,NT17,NT,37.563056,-77.547222,PIEDMONT,1936,354.6
RICHWEST,2/17/36,14.68,4.79,FLOOD,NT18,NT,37.563056,-77.547222,PIEDMONT,1936,354.6
LICKRUN,3/18/36,25.65,7.82,MAJOR,NT19,NT,37.773611,-79.784444,MOUNTAIN,1936,0
BUCHANAN,3/18/36,26.8,8.17,MAJOR,NT19,NT,37.530556,-79.679167,MOUNTAIN,1936,57.7
HOLCOMBROCK,3/18/36,30.78,9.38,MAJOR,NT19,NT,37.501111,-79.262778,PIEDMONT,1936,112.3
BENTCREEK,3/18/36,23.02,7.02,MAJOR,NT19,NT,37.536111,-78.829722,PIEDMONT,1936,177.8
SCOTTSVILLE,3/19/36,25.46,7.76,MAJOR,NT19,NT,37.797222,-78.491667,PIEDMONT,1936,240.3
CARTERSVILLE,3/19/36,28.77,9.05,MAJOR,NT19,NT,37.670833,-78.086111,PIEDMONT,1936,291
RICHWEST,3/19/36,23.42,7.45,MAJOR,NT19,NT,37.563056,-77.547222,PIEDMONT,1936,354.6
RICHLOCKS,3/30/36,26.5,8.08,MODERATE,NT20,NT,37.525,-77.421111,PIEDMONT,1936,367.3
SEWELLS,9/18/36,6.72,1.56,MAJOR,NOT_NAMED191,AT,36.946667,-76.33,COASTAL,1936,532
RICHWEST,1/4/37,15.25,4.96,MODERATE,NT21,NT,37.563056,-77.547222,PIEDMONT,1937,354.6
