DATASET,REGION,YEAR,VALUE,LANDUSE,SIMPLE GROUP,AREA sq m,AREA sq km,POPULATION,FLOODCOUNT,FLOW cms
ConusBackcasting,Piedmont,1941,13,Cultivated Cropland,Cropland,2235387861,2235.387861,1125090,2,346887.43
ConusBackcasting,Piedmont,1941,14,Hay Pasture,Hay Pasture,2068860391,2068.860391,1125090,2,346887.43
ConusBackcasting,Piedmont,1941,2,Developed,Developed,186812862.8,186.8128628,1125090,2,346887.43
ConusBackcasting,Piedmont,1941,9,Evergreen Forest,Forest,1105085779,1105.085779,1125090,2,346887.43
ConusBackcasting,Piedmont,1941,8,Deciduous Forest,Forest,4196142712,4196.142712,1125090,2,346887.43
ConusBackcasting,Piedmont,1941,10,Mixed Forest,Forest,1717579805,1717.579805,1125090,2,346887.43
ConusBackcasting,Piedmont,1941,16,Woody Wetland,Wetland,318886373.5,318.8863735,1125090,2,346887.43
ConusBackcasting,Piedmont,1941,1,Open Water,Water,53740686.55,53.74068655,1125090,2,346887.43
ConusBackcasting,Piedmont,1941,15,Herbaceous Wetland,Wetland,38947954.02,38.94795402,1125090,2,346887.43
ConusBackcasting,Piedmont,1941,6,Mining,Developed,2621496.905,2.621496905,1125090,2,346887.43
ConusBackcasting,Piedmont,1941,11,Grassland,Hay Pasture,124833.1859,0.124833186,1125090,2,346887.43
ConusBackcasting,Piedmont,1941,12,Shrubland,Hay Pasture,62416.59297,0.062416593,1125090,2,346887.43
ConusBackcasting,Piedmont,1943,13,Cultivated Cropland,Cropland,2064241563,2064.241563,1182697,0,604876.68
ConusBackcasting,Piedmont,1943,14,Hay Pasture,Hay Pasture,2074290634,2074.290634,1182697,0,604876.68
ConusBackcasting,Piedmont,1943,2,Developed,Developed,197298850.4,197.2988504,1182697,0,604876.68
ConusBackcasting,Piedmont,1943,9,Evergreen Forest,Forest,1119004679,1119.004679,1182697,0,604876.68
ConusBackcasting,Piedmont,1943,8,Deciduous Forest,Forest,4302875086,4302.875086,1182697,0,604876.68
ConusBackcasting,Piedmont,1943,10,Mixed Forest,Forest,1762956669,1762.956669,1182697,0,604876.68
ConusBackcasting,Piedmont,1943,16,Woody Wetland,Wetland,294793568.6,294.7935686,1182697,0,604876.68
ConusBackcasting,Piedmont,1943,1,Open Water,Water,67534753.6,67.5347536,1182697,0,604876.68
ConusBackcasting,Piedmont,1943,15,Herbaceous Wetland,Wetland,38760704.24,38.76070424,1182697,0,604876.68
ConusBackcasting,Piedmont,1943,6,Mining,Developed,2309413.94,2.30941394,1182697,0,604876.68
ConusBackcasting,Piedmont,1943,11,Grassland,Hay Pasture,124833.1859,0.124833186,1182697,0,604876.68
ConusBackcasting,Piedmont,1943,12,Shrubland,Hay Pasture,62416.59297,0.062416593,1182697,0,604876.68
ConusBackcasting,Piedmont,1944,13,Cultivated Cropland,Cropland,1972052255,1972.052255,1211501,5,596696.74
ConusBackcasting,Piedmont,1944,14,Hay Pasture,Hay Pasture,2078285296,2078.285296,1211501,5,596696.74
ConusBackcasting,Piedmont,1944,2,Developed,Developed,201106262.6,201.1062626,1211501,5,596696.74
ConusBackcasting,Piedmont,1944,9,Evergreen Forest,Forest,1126245004,1126.245004,1211501,5,596696.74
ConusBackcasting,Piedmont,1944,8,Deciduous Forest,Forest,4363294348,4363.294348,1211501,5,596696.74
ConusBackcasting,Piedmont,1944,10,Mixed Forest,Forest,1785489059,1785.489059,1211501,5,596696.74
ConusBackcasting,Piedmont,1944,16,Woody Wetland,Wetland,281748500.7,281.7485007,1211501,5,596696.74
ConusBackcasting,Piedmont,1944,1,Open Water,Water,75087161.35,75.08716135,1211501,5,596696.74
ConusBackcasting,Piedmont,1944,15,Herbaceous Wetland,Wetland,38635871.05,38.63587105,1211501,5,596696.74
ConusBackcasting,Piedmont,1944,6,Mining,Developed,2122164.161,2.122164161,1211501,5,596696.74
ConusBackcasting,Piedmont,1944,11,Grassland,Hay Pasture,124833.1859,0.124833186,1211501,5,596696.74
ConusBackcasting,Piedmont,1944,12,Shrubland,Hay Pasture,62416.59297,0.062416593,1211501,5,596696.74
ConusBackcasting,Piedmont,1945,13,Cultivated Cropland,Cropland,1969493175,1969.493175,1240304,3,558497.59
